rule_id,pattern,canonical_organization,promotion_family,region,active_from,active_to,tier,tier_from,tier_to,match_method,confidence,manual_override,notes
aca_acb,^(?:ACA|ACB|Absolute Championship Akhmat|Absolute Championship Berkut)(?:\b|$),ACA,ACA,Europe/Asia,2014-03-02,,2,,,regex,1.0,true,Absolute Championship Akhmat and predecessor ACB
m1,^(?:M-1|M1)(?:\b|$),M-1,M-1,Europe/Asia,1997-11-01,,2,,,regex,0.98,true,M-1 Global and related events
invicta,^(?:Invicta|Invicta FC)(?:\b|$),Invicta,Invicta,United States,2012-04-28,,2,,,regex,1.0,true,Invicta Fighting Championships
bamma,^BAMMA(?:\b|$),BAMMA,BAMMA,Europe,2009-06-27,2018-06-28,2,,,regex,0.95,true,British Association of Mixed Martial Arts
ifl,^(?:IFL|International Fight League)(?:\b|$),IFL,IFL,United States,2006-04-29,2008-05-16,2,,,regex,0.95,true,International Fight League
k1,^K-?1(?:\b|$),K-1,K-1,Japan,2001-01-01,,2,,,regex,0.90,true,K-1 mixed martial arts events
cage_rage,^Cage Rage(?:\b|$),Cage Rage,Cage Rage,Europe,2002-09-07,2008-09-20,2,,,regex,0.95,true,British major promotion
lfa,^(?:LFA|Legacy Fighting Alliance)(?:\b|$),LFA,Regional,United States,2017-01-13,,3,,,regex,1.0,true,Legacy Fighting Alliance
rfa,^(?:RFA|Resurrection Fighting Alliance)(?:\b|$),RFA,Regional,United States,2011-12-16,2016-12-09,3,,,regex,1.0,true,Resurrection Fighting Alliance
titan,^(?:Titan FC|Titan Fighting Championship)(?:\b|$),Titan FC,Regional,United States,2005-03-11,,3,,,regex,0.98,true,Titan Fighting Championship
legacy_fc,^(?:Legacy FC|Legacy Fighting Championship)(?:\b|$),Legacy FC,Regional,United States,2009-07-31,2016-12-02,3,,,regex,0.98,true,Legacy Fighting Championship
cffc,^(?:CFFC|Cage Fury Fighting Championships?)(?:\b|$),CFFC,Regional,United States,2006-06-30,,3,,,regex,1.0,true,Cage Fury Fighting Championships
ces,^(?:CES MMA|Classic Entertainment and Sports)(?:\b|$),CES MMA,Regional,United States,2010-09-17,,3,,,regex,0.98,true,Classic Entertainment and Sports MMA
afc,^(?:AFC|Absolute Fighting Championship)(?:\b|$),AFC,Regional,Regional,1990-01-01,,3,,,regex,0.90,true,Absolute Fighting Championship and AFC labels
brave,^(?:BRAVE CF|Brave Combat Federation)(?:\b|$),BRAVE CF,Regional,Global,2016-09-23,,3,,,regex,0.98,true,Brave Combat Federation
road,^(?:Road FC|Road Fighting Championship)(?:\b|$),Road FC,Regional,Asia,2010-10-23,,3,,,regex,0.98,true,Road Fighting Championship
deep,^DEEP(?:\b|$),DEEP,Regional,Japan,2001-01-08,,3,,,regex,0.95,true,DEEP
jungle,^Jungle Fight(?:\b|$),Jungle Fight,Regional,Brazil,2003-09-13,,3,,,regex,0.95,true,Jungle Fight
mfc,^(?:MFC|Maximum Fighting Championship)(?:\b|$),MFC,Regional,Canada,2001-03-10,2014-10-03,3,,,regex,0.98,true,Maximum Fighting Championship
tachi,^Tachi Palace Fights(?:\b|$),Tachi Palace Fights,Regional,United States,2009-07-16,2018-11-15,3,,,regex,0.98,true,Tachi Palace Fights
kotc,^(?:KOTC|King of the Cage)(?:\b|$),KOTC,Regional,Global,1998-10-30,,3,,,regex,0.98,true,King of the Cage
gladiator_challenge,^Gladiator Challenge(?:\b|$),Gladiator Challenge,Regional,United States,1999-12-11,,3,,,regex,0.95,true,Gladiator Challenge
palace,^(?:PFC|Palace Fighting Championship)(?:\b|$),PFC,Regional,United States,2007-01-18,2009-01-22,3,,,regex,0.95,true,Palace Fighting Championship
roc,^(?:ROC|Ring of Combat)(?:\b|$),Ring of Combat,Regional,United States,2002-10-12,,3,,,regex,0.95,true,Ring of Combat
major_regional_legacy,^Major Regional$,Major Regional,Regional,Regional,1990-01-01,,3,,,exact,1.0,true,Legacy stored catch-all retained only for artifact round trips
